Symbol	GeneId	Molecular Function	Biological Process	Cellular Component	Category
IL11RA	3590	GO:0004888;transmembrane signaling receptor activity|GO:0004896;cytokine receptor activity|GO:0004921;interleukin-11 receptor activity|GO:0019955;cytokine binding|GO:0019970;interleukin-11 binding	GO:0008284;positive regulation of cell proliferation|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032502;developmental process|GO:0038154;interleukin-11-mediated signaling pathway|GO:0060322;head development	GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0043235;receptor complex	Process
IL12RB1	3594	GO:0004896;cytokine receptor activity|GO:0004896;cytokine receptor activity|GO:0005143;interleukin-12 receptor binding|GO:0005143;interleukin-12 receptor binding|GO:0016517;interleukin-12 receptor activity|GO:0019955;cytokine binding|GO:0042019;interleukin-23 binding|GO:0042019;interleukin-23 binding|GO:0042020;interleukin-23 receptor activity	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002230;positive regulation of defense response to virus by host|GO:0002230;positive regulation of defense response to virus by host|GO:0002827;positive regulation of T-helper 1 type immune response|GO:0002827;positive regulation of T-helper 1 type immune response|GO:0007165;signal transduction|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032729;positive regulation of interferon-gamma production|GO:0032729;positive regulation of interferon-gamma production|GO:0035722;interleukin-12-mediated signaling pathway|GO:0038155;interleukin-23-mediated signaling pathway|GO:0042104;positive regulation of activated T cell proliferation|GO:0042104;positive regulation of activated T cell proliferation|GO:0043382;positive regulation of memory T cell differentiation|GO:0071346;cellular response to interferon-gamma|GO:2000318;positive regulation of T-helper 17 type immune response|GO:2000330;positive regulation of T-helper 17 cell lineage commitment	GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0042022;interleukin-12 receptor complex|GO:0042022;interleukin-12 receptor complex|GO:0043235;receptor complex|GO:0072536;interleukin-23 receptor complex|GO:0072536;interleukin-23 receptor complex	Process
IL12RB2	3595	GO:0004896;cytokine receptor activity|GO:0004896;cytokine receptor activity|GO:0019901;protein kinase binding|GO:0019955;cytokine binding	GO:0007166;cell surface receptor signaling pathway|GO:0008284;positive regulation of cell proliferation|GO:0018108;peptidyl-tyrosine phosphorylation|GO:0019221;cytokine-mediated signaling pathway|GO:0032496;response to lipopolysaccharide|GO:0032609;interferon-gamma production|GO:0032729;positive regulation of interferon-gamma production|GO:0035722;interleukin-12-mediated signaling pathway|GO:0070757;interleukin-35-mediated signaling pathway	GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0043235;receptor complex	Process
IL13RA1	3597	GO:0004896;cytokine receptor activity|GO:0004923;leukemia inhibitory factor receptor activity|GO:0004924;oncostatin-M receptor activity|GO:0005127;ciliary neurotrophic factor receptor binding|GO:0005515;protein binding|GO:0019955;cytokine binding	GO:0007166;cell surface receptor signaling pathway|GO:0008284;positive regulation of cell proliferation|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway	GO:0005886;plasma membrane|GO:0005898;interleukin-13 receptor complex|GO:0009897;external side of plasma membrane|GO:0043235;receptor complex	Component
IL13RA2	3598	GO:0004896;cytokine receptor activity|GO:0004896;cytokine receptor activity|GO:0005515;protein binding|GO:0019955;cytokine binding	GO:0002638;negative regulation of immunoglobulin production|GO:0016064;immunoglobulin mediated immune response|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0043305;negative regulation of mast cell degranulation	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0009897;external side of plasma membrane|GO:0016021;integral component of membrane|GO:0043235;receptor complex	Process
IL15RA	3601	GO:0004896;cytokine receptor activity|GO:0005515;protein binding|GO:0019901;protein kinase binding|GO:0042010;interleukin-15 receptor activity|GO:0042010;interleukin-15 receptor activity	GO:0035723;interleukin-15-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0050766;positive regulation of phagocytosis	GO:0000139;Golgi membrane|GO:0005615;extracellular space|GO:0005768;endosome|GO:0005789;endoplasmic reticulum membrane|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0009986;cell surface|GO:0016021;integral component of membrane|GO:0030659;cytoplasmic vesicle membrane|GO:0031965;nuclear membrane	Process
IL2RB	3560	GO:0004911;interleukin-2 receptor activity|GO:0004911;interleukin-2 receptor activity|GO:0004911;interleukin-2 receptor activity|GO:0005515;protein binding|GO:0019976;interleukin-2 binding|GO:0019976;interleukin-2 binding|GO:0042010;interleukin-15 receptor activity	GO:0000165;MAPK cascade|GO:0007165;signal transduction|GO:0016032;viral process|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0038110;interleukin-2-mediated signaling pathway|GO:0038110;interleukin-2-mediated signaling pathway|GO:0043066;negative regulation of apoptotic process|GO:0050766;positive regulation of phagocytosis|GO:0065003;protein-containing complex assembly	GO:0005768;endosome|GO:0005829;cytosol|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0005893;interleukin-2 receptor complex|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0009986;cell surface|GO:0016020;membrane	Process
IL17RA	23765	GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0030368;interleukin-17 receptor activity|GO:0030368;interleukin-17 receptor activity	GO:0007166;cell surface receptor signaling pathway|GO:0032747;positive regulation of interleukin-23 production|GO:0050832;defense response to fungus|GO:0071621;granulocyte chemotaxis|GO:0072537;fibroblast activation|GO:0097400;interleukin-17-mediated signaling pathway|GO:1900017;positive regulation of cytokine production involved in inflammatory response|GO:2000664;positive regulation of interleukin-5 secretion|GO:2000667;positive regulation of interleukin-13 secretion	GO:0005576;extracellular region|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane	Process
IL17RB	55540	GO:0004896;cytokine receptor activity|GO:0030368;interleukin-17 receptor activity	GO:0001558;regulation of cell growth|GO:0006952;defense response|GO:0050729;positive regulation of inflammatory response|GO:0097400;interleukin-17-mediated signaling pathway|GO:2000664;positive regulation of interleukin-5 secretion|GO:2000667;positive regulation of interleukin-13 secretion	GO:0005576;extracellular region|GO:0005737;cytoplasm|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009986;cell surface|GO:0016020;membrane	Process
IL17RC	84818	GO:0005102;signaling receptor binding|GO:0030368;interleukin-17 receptor activity|GO:0030368;interleukin-17 receptor activity	GO:0050832;defense response to fungus|GO:0071621;granulocyte chemotaxis|GO:0097400;interleukin-17-mediated signaling pathway|GO:1900017;positive regulation of cytokine production involved in inflammatory response|GO:2000778;positive regulation of interleukin-6 secretion	GO:0005886;plasma membrane|GO:0009986;cell surface|GO:0016021;integral component of membrane	Process
IL17RD	54756	GO:0030368;interleukin-17 receptor activity	GO:0000165;MAPK cascade|GO:0010719;negative regulation of epithelial to mesenchymal transition|GO:0019221;cytokine-mediated signaling pathway|GO:0030512;negative regulation of transforming growth factor beta receptor signaling pathway	GO:0000139;Golgi membrane|GO:0005654;nucleoplasm|GO:0005794;Golgi apparatus|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL17RE	132014	GO:0005515;protein binding|GO:0030368;interleukin-17 receptor activity	GO:0006954;inflammatory response|GO:0097400;interleukin-17-mediated signaling pathway	GO:0005576;extracellular region|GO:0005737;cytoplasm|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL18R1	8809	GO:0004908;interleukin-1 receptor activity|GO:0005515;protein binding|GO:0038023;signaling receptor activity|GO:0042007;interleukin-18 binding|GO:0042007;interleukin-18 binding|GO:0042008;interleukin-18 receptor activity|GO:0042008;interleukin-18 receptor activity|GO:0050135;NAD(P)+ nucleosidase activity|GO:0061809;NAD+ nucleotidase, cyclic ADP-ribose generating	GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0030101;natural killer cell activation|GO:0032729;positive regulation of interferon-gamma production|GO:0032729;positive regulation of interferon-gamma production|GO:0035655;interleukin-18-mediated signaling pathway|GO:0035655;interleukin-18-mediated signaling pathway|GO:0035655;interleukin-18-mediated signaling pathway|GO:0045063;T-helper 1 cell differentiation|GO:0051092;positive regulation of NF-kappaB transcription factor activity|GO:0071345;cellular response to cytokine stimulus|GO:0120163;negative regulation of cold-induced thermogenesis|GO:1901224;positive regulation of NIK/NF-kappaB signaling|GO:2000556;positive regulation of T-helper 1 cell cytokine production	GO:0005886;plasma membrane|GO:0045092;interleukin-18 receptor complex	Process
IL18RAP	8807	GO:0042008;interleukin-18 receptor activity|GO:0042008;interleukin-18 receptor activity|GO:0050135;NAD(P)+ nucleosidase activity|GO:0061809;NAD+ nucleotidase, cyclic ADP-ribose generating	GO:0006954;inflammatory response|GO:0006955;immune response|GO:0008283;cell proliferation|GO:0032609;interferon-gamma production|GO:0032635;interleukin-6 production|GO:0035655;interleukin-18-mediated signaling pathway|GO:0035655;interleukin-18-mediated signaling pathway|GO:0035655;interleukin-18-mediated signaling pathway|GO:0035744;T-helper 1 cell cytokine production|GO:0042119;neutrophil activation|GO:0045954;positive regulation of natural killer cell mediated cytotoxicity|GO:0051092;positive regulation of NF-kappaB transcription factor activity|GO:0051092;positive regulation of NF-kappaB transcription factor activity|GO:0070301;cellular response to hydrogen peroxide	GO:0005886;plasma membrane|GO:0045092;interleukin-18 receptor complex	Process
IL1R1	3554	GO:0002020;protease binding|GO:0004888;transmembrane signaling receptor activity|GO:0004908;interleukin-1 receptor activity|GO:0004908;interleukin-1 receptor activity|GO:0004909;interleukin-1, type I, activating receptor activity|GO:0005161;platelet-derived growth factor receptor binding|GO:0005515;protein binding|GO:0019966;interleukin-1 binding|GO:0050135;NAD(P)+ nucleosidase activity|GO:0061809;NAD+ nucleotidase, cyclic ADP-ribose generating	GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007166;cell surface receptor signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032729;positive regulation of interferon-gamma production|GO:0050727;regulation of inflammatory response|GO:0070498;interleukin-1-mediated signaling pathway|GO:0070498;interleukin-1-mediated signaling pathway|GO:0070498;interleukin-1-mediated signaling pathway|GO:0070555;response to interleukin-1|GO:2000391;positive regulation of neutrophil extravasation|GO:2000556;positive regulation of T-helper 1 cell cytokine production|GO:2000661;positive regulation of interleukin-1-mediated signaling pathway	GO:0005576;extracellular region|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0016020;membrane	Process
IL1R2	7850	GO:0004908;interleukin-1 receptor activity|GO:0004910;interleukin-1, type II, blocking receptor activity|GO:0005515;protein binding|GO:0019966;interleukin-1 binding	GO:0006955;immune response|GO:0010955;negative regulation of protein processing|GO:0019221;cytokine-mediated signaling pathway|GO:0050712;negative regulation of interleukin-1 alpha secretion|GO:0070498;interleukin-1-mediated signaling pathway|GO:1900016;negative regulation of cytokine production involved in inflammatory response|GO:2000660;negative regulation of interleukin-1-mediated signaling pathway	GO:0005576;extracellular region|GO:0005737;cytoplasm|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL1RAP	3556	GO:0002114;interleukin-33 receptor activity|GO:0004908;interleukin-1 receptor activity|GO:0005149;interleukin-1 receptor binding|GO:0050135;NAD(P)+ nucleosidase activity|GO:0061809;NAD+ nucleotidase, cyclic ADP-ribose generating	GO:0006954;inflammatory response|GO:0006955;immune response|GO:0019221;cytokine-mediated signaling pathway|GO:0032736;positive regulation of interleukin-13 production|GO:0032754;positive regulation of interleukin-5 production|GO:0038172;interleukin-33-mediated signaling pathway|GO:0042094;interleukin-2 biosynthetic process|GO:0045087;innate immune response|GO:0051092;positive regulation of NF-kappaB transcription factor activity|GO:0051965;positive regulation of synapse assembly|GO:0065003;protein-containing complex assembly|GO:0070498;interleukin-1-mediated signaling pathway|GO:0072602;interleukin-4 secretion|GO:0099151;regulation of postsynaptic density assembly|GO:0099545;trans-synaptic signaling by trans-synaptic complex|GO:0099560;synaptic membrane adhesion|GO:1905606;regulation of presynapse assembly|GO:2000778;positive regulation of interleukin-6 secretion	GO:0005576;extracellular region|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0016020;membrane|GO:0098978;glutamatergic synapse	Process
IL1RL1	9173	GO:0002113;interleukin-33 binding|GO:0002114;interleukin-33 receptor activity|GO:0004896;cytokine receptor activity|GO:0004908;interleukin-1 receptor activity|GO:0005515;protein binding|GO:0050135;NAD(P)+ nucleosidase activity|GO:0061809;NAD+ nucleotidase, cyclic ADP-ribose generating	GO:0002826;negative regulation of T-helper 1 type immune response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0032689;negative regulation of interferon-gamma production|GO:0032754;positive regulation of interleukin-5 production|GO:0038172;interleukin-33-mediated signaling pathway|GO:0043032;positive regulation of macrophage activation|GO:0050729;positive regulation of inflammatory response|GO:0090197;positive regulation of chemokine secretion	GO:0005576;extracellular region|GO:0005829;cytosol|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005925;focal adhesion|GO:0009897;external side of plasma membrane|GO:0016021;integral component of membrane	Process
IL1RL2	8808	GO:0004908;interleukin-1 receptor activity|GO:0004909;interleukin-1, type I, activating receptor activity|GO:0050135;NAD(P)+ nucleosidase activity|GO:0061809;NAD+ nucleotidase, cyclic ADP-ribose generating	GO:0006954;inflammatory response|GO:0006968;cellular defense response|GO:0007165;signal transduction|GO:0019221;cytokine-mediated signaling pathway|GO:0032755;positive regulation of interleukin-6 production|GO:0045087;innate immune response|GO:0045582;positive regulation of T cell differentiation|GO:0050727;regulation of inflammatory response|GO:0070498;interleukin-1-mediated signaling pathway|GO:0071345;cellular response to cytokine stimulus	GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane	Process
IL20RA	53832	GO:0004896;cytokine receptor activity|GO:0005515;protein binding|GO:0042015;interleukin-20 binding	GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0045124;regulation of bone resorption|GO:2001244;positive regulation of intrinsic apoptotic signaling pathway	GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL20RB	53833	GO:0004896;cytokine receptor activity|GO:0005515;protein binding|GO:0042015;interleukin-20 binding	GO:0001808;negative regulation of type IV hypersensitivity|GO:0002437;inflammatory response to antigenic stimulus|GO:0002765;immune response-inhibiting signal transduction|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032689;negative regulation of interferon-gamma production|GO:0032703;negative regulation of interleukin-2 production|GO:0032733;positive regulation of interleukin-10 production|GO:0032753;positive regulation of interleukin-4 production|GO:0042130;negative regulation of T cell proliferation|GO:0048873;homeostasis of number of cells within a tissue	GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL21R	50615	GO:0001532;interleukin-21 receptor activity|GO:0004888;transmembrane signaling receptor activity|GO:0004896;cytokine receptor activity	GO:0030101;natural killer cell activation|GO:0038114;interleukin-21-mediated signaling pathway	GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL22RA1	58985	GO:0004896;cytokine receptor activity|GO:0004904;interferon receptor activity|GO:0005515;protein binding|GO:0042015;interleukin-20 binding	GO:0008150;biological_process|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0050829;defense response to Gram-negative bacterium	GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL22RA2	116379	GO:0004896;cytokine receptor activity|GO:0042017;interleukin-22 binding|GO:0042018;interleukin-22 receptor activity|GO:0042018;interleukin-22 receptor activity	GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0042509;regulation of tyrosine phosphorylation of STAT protein|GO:0050728;negative regulation of inflammatory response	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005829;cytosol|GO:0005886;plasma membrane|GO:0016021;integral component of membrane	Process
IL23R	149233	GO:0004896;cytokine receptor activity|GO:0005143;interleukin-12 receptor binding|GO:0005143;interleukin-12 receptor binding|GO:0005515;protein binding|GO:0019955;cytokine binding|GO:0042019;interleukin-23 binding|GO:0042019;interleukin-23 binding|GO:0042020;interleukin-23 receptor activity	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002230;positive regulation of defense response to virus by host|GO:0002230;positive regulation of defense response to virus by host|GO:0002827;positive regulation of T-helper 1 type immune response|GO:0002827;positive regulation of T-helper 1 type immune response|GO:0006954;inflammatory response|GO:0010536;positive regulation of activation of Janus kinase activity|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032496;response to lipopolysaccharide|GO:0032693;negative regulation of interleukin-10 production|GO:0032725;positive regulation of granulocyte macrophage colony-stimulating factor production|GO:0032729;positive regulation of interferon-gamma production|GO:0032729;positive regulation of interferon-gamma production|GO:0032729;positive regulation of interferon-gamma production|GO:0032735;positive regulation of interleukin-12 production|GO:0032740;positive regulation of interleukin-17 production|GO:0032819;positive regulation of natural killer cell proliferation|GO:0034341;response to interferon-gamma|GO:0038155;interleukin-23-mediated signaling pathway|GO:0042102;positive regulation of T cell proliferation|GO:0042104;positive regulation of activated T cell proliferation|GO:0042509;regulation of tyrosine phosphorylation of STAT protein|GO:0042531;positive regulation of tyrosine phosphorylation of STAT protein|GO:0043382;positive regulation of memory T cell differentiation|GO:0045672;positive regulation of osteoclast differentiation|GO:0050829;defense response to Gram-negative bacterium|GO:0051135;positive regulation of NK T cell activation|GO:2000318;positive regulation of T-helper 17 type immune response|GO:2000330;positive regulation of T-helper 17 cell lineage commitment	GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0043235;receptor complex|GO:0043235;receptor complex|GO:0072536;interleukin-23 receptor complex|GO:0072536;interleukin-23 receptor complex	Process
IL27RA	9466	GO:0004888;transmembrane signaling receptor activity|GO:0004896;cytokine receptor activity|GO:0005143;interleukin-12 receptor binding|GO:0019955;cytokine binding|GO:0042019;interleukin-23 binding|GO:0045509;interleukin-27 receptor activity	GO:0002827;positive regulation of T-helper 1 type immune response|GO:0002829;negative regulation of type 2 immune response|GO:0006955;immune response|GO:0007166;cell surface receptor signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032729;positive regulation of interferon-gamma production|GO:0042104;positive regulation of activated T cell proliferation|GO:0048302;regulation of isotype switching to IgG isotypes|GO:0050830;defense response to Gram-positive bacterium|GO:0070106;interleukin-27-mediated signaling pathway|GO:0070757;interleukin-35-mediated signaling pathway|GO:1900165;negative regulation of interleukin-6 secretion|GO:1904468;negative regulation of tumor necrosis factor secretion|GO:1905077;negative regulation of interleukin-17 secretion|GO:2000317;negative regulation of T-helper 17 type immune response|GO:2000408;negative regulation of T cell extravasation	GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0042022;interleukin-12 receptor complex|GO:0043235;receptor complex|GO:0072536;interleukin-23 receptor complex	Process
IFNLR1	163702	GO:0004896;cytokine receptor activity|GO:0004896;cytokine receptor activity|GO:0005515;protein binding	GO:0002385;mucosal immune response|GO:0008285;negative regulation of cell proliferation|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0034342;response to type III interferon|GO:0050691;regulation of defense response to virus by host|GO:0051607;defense response to virus	GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0016021;integral component of membrane|GO:0016021;integral component of membrane|GO:0032002;interleukin-28 receptor complex	Process
IL2RA	3559	GO:0004911;interleukin-2 receptor activity|GO:0005515;protein binding|GO:0019976;interleukin-2 binding	GO:0000165;MAPK cascade|GO:0002437;inflammatory response to antigenic stimulus|GO:0002664;regulation of T cell tolerance induction|GO:0006915;apoptotic process|GO:0006924;activation-induced cell death of T cells|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007166;cell surface receptor signaling pathway|GO:0007219;Notch signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0038110;interleukin-2-mediated signaling pathway|GO:0042104;positive regulation of activated T cell proliferation|GO:0042130;negative regulation of T cell proliferation|GO:0045582;positive regulation of T cell differentiation|GO:0045589;regulation of regulatory T cell differentiation|GO:0046013;regulation of T cell homeostatic proliferation|GO:0050687;negative regulation of defense response to virus|GO:0050728;negative regulation of inflammatory response|GO:0050777;negative regulation of immune response	GO:0005886;plasma membrane|GO:0005893;interleukin-2 receptor complex|GO:0009897;external side of plasma membrane	Process
IL2RB	3560	GO:0004911;interleukin-2 receptor activity|GO:0004911;interleukin-2 receptor activity|GO:0004911;interleukin-2 receptor activity|GO:0005515;protein binding|GO:0019976;interleukin-2 binding|GO:0019976;interleukin-2 binding|GO:0042010;interleukin-15 receptor activity	GO:0000165;MAPK cascade|GO:0007165;signal transduction|GO:0016032;viral process|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0038110;interleukin-2-mediated signaling pathway|GO:0038110;interleukin-2-mediated signaling pathway|GO:0043066;negative regulation of apoptotic process|GO:0050766;positive regulation of phagocytosis|GO:0065003;protein-containing complex assembly	GO:0005768;endosome|GO:0005829;cytosol|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0005893;interleukin-2 receptor complex|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0009986;cell surface|GO:0016020;membrane	Process
IL2RG	3561	GO:0004896;cytokine receptor activity|GO:0004911;interleukin-2 receptor activity|GO:0004913;interleukin-4 receptor activity|GO:0004917;interleukin-7 receptor activity|GO:0005515;protein binding|GO:0019955;cytokine binding|GO:0019976;interleukin-2 binding|GO:0042010;interleukin-15 receptor activity	GO:0000165;MAPK cascade|GO:0006955;immune response|GO:0007165;signal transduction|GO:0016032;viral process|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0035771;interleukin-4-mediated signaling pathway|GO:0038110;interleukin-2-mediated signaling pathway|GO:0038111;interleukin-7-mediated signaling pathway|GO:0038113;interleukin-9-mediated signaling pathway|GO:0038114;interleukin-21-mediated signaling pathway|GO:0050766;positive regulation of phagocytosis	GO:0005768;endosome|GO:0005829;cytosol|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0016020;membrane|GO:0043235;receptor complex	Process
IL31RA	133396	GO:0003713;transcription coactivator activity|GO:0004896;cytokine receptor activity|GO:0004896;cytokine receptor activity|GO:0019901;protein kinase binding|GO:0019955;cytokine binding|GO:0019955;cytokine binding|GO:0051916;granulocyte colony-stimulating factor binding	GO:0000165;MAPK cascade|GO:0002067;glandular epithelial cell differentiation|GO:0002438;acute inflammatory response to antigenic stimulus|GO:0006952;defense response|GO:0007169;transmembrane receptor protein tyrosine kinase signaling pathway|GO:0007259;JAK-STAT cascade|GO:0008284;positive regulation of cell proliferation|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0030224;monocyte differentiation|GO:0030225;macrophage differentiation|GO:0035745;T-helper 2 cell cytokine production|GO:0042531;positive regulation of tyrosine phosphorylation of STAT protein|GO:0042592;homeostatic process|GO:0043031;negative regulation of macrophage activation|GO:0043066;negative regulation of apoptotic process|GO:0045893;positive regulation of transcription, DNA-templated|GO:0098542;defense response to other organism	GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0016021;integral component of membrane|GO:0030424;axon|GO:0042734;presynaptic membrane|GO:0043235;receptor complex	Process
IL3RA	3563	GO:0004896;cytokine receptor activity|GO:0004912;interleukin-3 receptor activity|GO:0019955;cytokine binding	GO:0000165;MAPK cascade|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0036016;cellular response to interleukin-3|GO:0038156;interleukin-3-mediated signaling pathway	GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0016021;integral component of membrane|GO:0043235;receptor complex	Component
IL4R	3566	GO:0004913;interleukin-4 receptor activity|GO:0005515;protein binding	GO:0002532;production of molecular mediator involved in inflammatory response|GO:0002639;positive regulation of immunoglobulin production|GO:0006955;immune response|GO:0007165;signal transduction|GO:0016064;immunoglobulin mediated immune response|GO:0019221;cytokine-mediated signaling pathway|GO:0030728;ovulation|GO:0035771;interleukin-4-mediated signaling pathway|GO:0042127;regulation of cell proliferation|GO:0042832;defense response to protozoan|GO:0043032;positive regulation of macrophage activation|GO:0043306;positive regulation of mast cell degranulation|GO:0043627;response to estrogen|GO:0045626;negative regulation of T-helper 1 cell differentiation|GO:0045630;positive regulation of T-helper 2 cell differentiation|GO:0090197;positive regulation of chemokine secretion|GO:0120162;positive regulation of cold-induced thermogenesis|GO:1901741;positive regulation of myoblast fusion|GO:1990834;response to odorant	GO:0005615;extracellular space|GO:0005654;nucleoplasm|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0034451;centriolar satellite|GO:0043235;receptor complex	Process
IL5RA	3568	GO:0004896;cytokine receptor activity|GO:0004914;interleukin-5 receptor activity|GO:0005515;protein binding|GO:0019955;cytokine binding	GO:0000165;MAPK cascade|GO:0002437;inflammatory response to antigenic stimulus|GO:0007165;signal transduction|GO:0019221;cytokine-mediated signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0032674;regulation of interleukin-5 production|GO:0038043;interleukin-5-mediated signaling pathway|GO:0070665;positive regulation of leukocyte proliferation	GO:0005615;extracellular space|GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0016021;integral component of membrane|GO:0043235;receptor complex	Process
